persistent_id,repository_id,title,publisher,publication_date,retrieval_date,url,document_type,license,version,format,language,coverage,province_coverage,district_coverage,keywords,research_themes,evidence_tier,confidence,validation_status,checksum,related_entities,related_work_packages,related_requirements,related_datasets
SRC-0003,02-evidence/EVIDENCE_REGISTER.csv,ISO 3166-2:ZM subdivision codes,ISO (via Wikipedia OBP),2014-11-03,2026-07-05,https://en.wikipedia.org/wiki/ISO_3166-2:ZM,Standard,ISO (public listing),current,HTML,en,National,All 10,n/a,"provinces;ISO codes",RQ-DEMO;Provinces,1,96,verified,n/a-not-downloaded,ENT-LOCATION,WP1.1,reference-data,DS-026
SRC-0004,02-evidence/EVIDENCE_REGISTER.csv,2022 Census National Analytical Report,ZamStats,2023,2026-07-05,https://www.zamstats.gov.zm/wp-content/uploads/2025/08/2022-Census-National-Analytical-Report.pdf,Official report,Official (confirm),2022 Census,PDF,en,National,All 10,116 districts,"census;districts;constituencies;wards",Demographics;Provinces,1,97,verified,pending-download,ENT-LOCATION,WP1.1,reference-data,DS-001
SRC-0005,02-evidence/EVIDENCE_REGISTER.csv,Zambia Land Tenure,USAID/World Bank,2016,2026-07-05,https://tenuresecurity.org/wp-content/uploads/2016/09/USAID_Land_Tenure_World_Bank_2016_Zambia_Open_Source.pdf,Research report,Open,2016,PDF,en,National,All 10,n/a,"chiefdoms;customary land",Provinces;Governance,2,70,corroborated,pending-download,ENT-STAKEHOLDER,WP1.1,reference-data,
SRC-0006,02-evidence/EVIDENCE_REGISTER.csv,Arc 1950 UTM 34S-36S (EPSG 20934-6),EPSG/IOGP,2024,2026-07-05,https://situx.github.io/proj4rdf/data/def/crs/EPSG/0/20934/index.html,Geodetic registry,Open,EPSG,HTML,en,National,All 10,n/a,"CRS;UTM;datum;EPSG",Provinces;GIS,2,90,verified,n/a,ENT-LOCATION,WP1.1,GIS-baselayer,DS-026
SRC-0007,02-evidence/EVIDENCE_REGISTER.csv,Unified Country-Wide Plane Coordinate System for Zambia,UNZA,2019,2026-07-05,https://dspace.unza.zm/items/fdede664-e056-4761-9fe6-4b332c5f3f6c,Thesis,Academic,2019,HTML/PDF,en,National,All 10,n/a,"CRS;national grid",GIS,2,75,corroborated,pending-download,ENT-LOCATION,WP1.1,GIS-baselayer,
SRC-0008,02-evidence/EVIDENCE_REGISTER.csv,Rebase of National Currency (ZMW),Bank of Zambia,2012,2026-07-05,https://www.fnbzambia.co.zm/downloads/zambia/rebase/Rebase_of_National_Currency_Zambia_OBE.pdf,Official notice,Public,2012,PDF,en,National,All 10,n/a,"currency;ZMW;ngwee;rebase",Reference-systems;Economy,1,92,verified,pending-download,ENT-TRANSACTION,WP1.1,analytics-KPI,DS-007
SRC-0009,02-evidence/EVIDENCE_REGISTER.csv,Zambia country profile,Wikipedia,2026,2026-07-05,https://en.wikipedia.org/wiki/Zambia,Encyclopedia,CC-BY-SA,current,HTML,en,National,All 10,n/a,"ISO;TLD;calling-code;identifiers",Reference-systems,4,70,corroborated,n/a,ENT-LOCATION,WP1.1,reference-data,
SRC-0010,02-evidence/EVIDENCE_REGISTER.csv,Time in Zambia (IANA Africa/Lusaka),IANA (via Wikipedia),2026,2026-07-05,https://en.wikipedia.org/wiki/Time_in_Zambia,Standard,Public,tzdb,HTML,en,National,All 10,n/a,"timezone;CAT;UTC+2",Reference-systems,2,90,verified,n/a,ENT-LOCATION,WP1.1,reference-data,
SRC-0011,02-evidence/EVIDENCE_REGISTER.csv,Republic of Zambia (COMESA),COMESA,2024,2026-07-05,https://www.comesa.int/the-republic-of-zambia/,Official page,Public,current,HTML,en,National,All 10,n/a,"languages;independence;membership",Reference-systems;Policy,2,82,verified,n/a,ENT-ORG,WP1.1,multi-language,
SRC-0012,02-evidence/EVIDENCE_REGISTER.csv,Data Protection Act No.3 of 2021,GRZ/ZambiaLII,2021-03-24,2026-07-05,https://media.zambialii.org/media/legislation/20776/source_file/39bf6107e2fb14d7/2021-3.pdf,Act of Parliament,Public,2021,PDF,en,National,All 10,n/a,"data-protection;privacy",Legal;Digital,1,96,verified,pending-download,ENT-REGULATION,WP1.1,data-protection,
SRC-0013,02-evidence/EVIDENCE_REGISTER.csv,Cyber Security Act 2025 & Cyber Crimes Act 2025,Global Network Initiative,2025,2026-07-05,https://globalnetworkinitiative.org/scrutinizing-zambias-new-cyber-law-regime-in-the-shadow-of-rightscon/,Analysis,Public,2025,HTML,en,National,All 10,n/a,"cyber;legislation",Legal;Digital,3,65,corroborated,n/a,ENT-REGULATION,WP1.1,data-protection,
SRC-0014,02-evidence/EVIDENCE_REGISTER.csv,Constitution (Amendment) Act No.2 of 2016,GRZ,2016,2026-07-05,https://www.parliament.gov.zm/sites/default/files/documents/pages/Strategic%20Plan%202022-2026.pdf,Constitution,Public,2016,PDF,en,National,All 10,n/a,"constitution;governance;devolution",Legal;Governance,1,95,verified,pending-download,ENT-REGULATION,WP1.1,compliance-alignment,
SRC-0015,02-evidence/EVIDENCE_REGISTER.csv,Eighth National Development Plan 2022-2026,GRZ MoFNP,2022,2026-07-05,http://www.zda.org.zm/wp-content/uploads/2022/09/8th-NDP-2022-2026.pdf,National plan,Public,2022,PDF,en,National,All 10,n/a,"NDP;Vision2030;policy",Policy,1,95,verified,pending-download,ENT-REGULATION,WP1.1,compliance-alignment,
SRC-0016,02-evidence/EVIDENCE_REGISTER.csv,Standards Act No.4 of 2017,GRZ/MCTI,2017,2026-07-05,https://www.zambialaws.com/Bulletin-2017/(4)%20Standards%20Act%204%20of%202017.pdf,Act of Parliament,Public,2017,PDF,en,National,All 10,n/a,"standards;ZABS",Standards;Legal,1,88,verified,pending-download,ENT-REGULATION,WP1.1,compliance-alignment,
SRC-0017,02-evidence/EVIDENCE_REGISTER.csv,Mining Cadastre (MMMD) & eGov portal,GRZ MMMD,2024,2026-07-05,https://www.mmmd.gov.zm/?page_id=1857,Official page/portal,Public,current,HTML,en,National,All 10,n/a,"mining;cadastre;spatial",Mining;GIS,1,88,verified,n/a,ENT-LOCATION,WP1.1,GIS-baselayer,DS-018
SRC-0018,02-evidence/EVIDENCE_REGISTER.csv,National Registration Act & NRC,GRZ MoHAIS,2024,2026-07-05,https://www.mohais.gov.zm/?page_id=1610,Official page,Public,current,HTML,en,National,All 10,n/a,"national-ID;NRC",Reference-systems;Identity,1,86,verified,n/a,ENT-STAKEHOLDER,WP1.1,digital-ID,
SRC-0019,02-evidence/EVIDENCE_REGISTER.csv,Road Traffic Act & vehicle plates,GRZ/RTSA,2024,2026-07-05,https://www.zambialaws.com/r/323-road-traffic-act,Act of Parliament,Public,current,HTML,en,National,All 10,n/a,"vehicle-registration;transport",Reference-systems;Transport,1,80,corroborated,n/a,ENT-VEHICLE,WP1.1,reference-data,
SRC-0020,02-evidence/EVIDENCE_REGISTER.csv,Ministries & Cabinet directory,GRZ Cabinet Office,2025,2026-07-05,https://www.cabinet.gov.zm/?page_id=2029,Official page,Public,current,HTML,en,National,All 10,n/a,"ministries;cabinet;government",Government,1,85,verified,n/a,ENT-ORG,WP1.1,reference-data,
SRC-0021,02-evidence/EVIDENCE_REGISTER.csv,Engineering Institution of Zambia Act No.17 of 2010,EIZ,2010,2026-07-05,https://portal.eiz.org.zm/,Statutory body page,Public,2010,HTML,en,National,All 10,n/a,"professional-body;engineering",Government;Legal,1,88,verified,n/a,ENT-ORG,WP1.1,reference-data,
SRC-0022,02-evidence/EVIDENCE_REGISTER.csv,Statistics Act No.13 of 2018,GRZ/ZamStats,2018,2026-07-05,https://www.zamstats.gov.zm/,Act of Parliament,Public,2018,HTML,en,National,All 10,n/a,"statistics;governance",Legal;Data,1,80,corroborated,n/a,ENT-ORG,WP1.1,reference-data,
