instrument_id,title,year,status,authority,scope_purpose,industries,workflows_affected,licensing,reporting,inspection,renewal,penalties,related,evidence,confidence
REG-0001,Constitution of Zambia (Amendment) Act No.2 of 2016,2016,In force,GRZ/Parliament,Supreme law; governance; decentralisation,cross-industry,all,n/a,n/a,n/a,n/a,n/a,all,SRC-0014,95
REG-0002,Plant Variety and Seeds Act (Cap 236),1995,In force (reform pending),SCCI / Ministry of Agriculture,Seed production/sale/import/export; testing & certification,agriculture,WF-007,Seed importer/producer/seller licence,Certification records,Seed testing,periodic,fines,REG-0003;REG-0027,SRC-0094,84
REG-0003,Plant Breeders Act No.18 of 2007,2007,In force,Ministry of Agriculture,Plant breeders' rights,agriculture,WF-005/007,PBR registration,n/a,n/a,term,fines,REG-0002,SRC-0100,76
REG-0004,Agriculture (Fertilisers and Feed) Act (Cap 226),1994,In force (reform pending),Ministry of Agriculture,Manufacture/import/sale of fertilisers & feed; purity standards,agriculture,WF-008,Registration; approved lab,Analysis reports,Sampling/analysis,periodic,fines,REG-0027,SRC-0095,84
REG-0005,Food and Nutrition Act No.3 of 2020,2020,In force,National Food & Nutrition Commission,Food & nutrition programme; nutrition-group registration,agriculture,WF-034/035,Nutrition-group registration,programme reports,n/a,n/a,fines,REG-0006,SRC-0096,84
REG-0006,Food Reserve Act No.20 of 2005,2005,In force,Food Reserve Agency,National strategic food reserve,agriculture,WF-026/029/031,n/a,stock reports,depot inspection,n/a,n/a,REG-0007,SRC-0100,80
REG-0007,Agricultural Credits Act No.35 of 2010 (+ Agricultural Credits & Warehouse Receipts Act 2026),2010,In force (2026 update),Warehouse Licensing Authority,Warehouse receipts; agricultural charges; e-WRS,agriculture,WF-026/037,Warehouse certification,WR register,warehouse audit,periodic,fines/imprisonment,REG-0006,SRC-0061;SRC-0062,86
REG-0008,Fisheries Act No.22 of 2011,2011,In force,Department of Fisheries,Fisheries & aquaculture management,agriculture,WF-019 (livestock/aquaculture),Fishing/aquaculture licence,catch reports,inspection,periodic,fines,REG-0009,SRC-0098,82
REG-0009,Animal Health Act No.27 of 2010,2010,In force,Dept of Veterinary Services,Animal disease control; movement; import/export,agriculture,WF-009 (vet),Veterinary permits,disease reports,vet inspection,per movement,fines,REG-0010,SRC-0100,80
REG-0010,Cooperative Societies Act No.20 of 1998,1998,In force,Registrar of Cooperatives,Formation/registration/regulation of cooperatives,agriculture,WF-007/031/035,Cooperative registration,annual returns,inspection,annual,deregistration,REG-0104,SRC-0099,82
REG-0011,Tobacco Act No.13 of 1994,1994,In force,Tobacco Board of Zambia,Production/marketing/export of tobacco,agriculture,WF-030,Grower/trader licence,returns,inspection,annual,fines,REG-0002,SRC-0100,72
REG-0012,Minerals Regulation Commission Act No.14 of 2024 (MRCA),2024,In force (repealed MMDA 2015),Minerals Regulation Commission,Mining rights; licensing; monitoring; royalties,mining,WF-M01/M02/M06/M13,Exploration/mining/processing licences,production/royalty returns,mine inspection,per licence term,fines/revocation,REG-0013;REG-0106,SRC-0064,84
REG-0013,Geological and Minerals Development Act 2025,2025,In force,Ministry of Mines (Geological Survey/ASM directorates),Geological survey; ASM formalisation,mining,WF-M01/M14,ASM rights,n/a,n/a,n/a,fines,REG-0012,SRC-0064,76
REG-0014,National Council for Construction Act No.13 of 2003,2003,In force,National Council for Construction,Regulation/registration/grading of contractors,construction,WF-C05/C06,Contractor registration & grade,annual registration,site/works inspection,annual,fines/deregistration,REG-0015;REG-0102,SRC-0067,84
REG-0015,Engineering Institution of Zambia Act No.17 of 2010,2010,In force,Engineering Institution of Zambia,Regulation of engineering profession,construction/cross,WF-C02/C11,Engineer registration/licence,CPD,professional conduct,annual,sanctions,REG-0014,SRC-0021,88
REG-0016,Standards Act No.4 of 2017,2017,In force,Zambia Bureau of Standards (ZABS),National standards; conformity assessment,cross-industry,WF-C11/WF-031,Product certification,conformity reports,inspection/testing,per scheme,fines,REG-0017,SRC-0016,88
REG-0017,Environmental Management Act No.12 of 2011,2011,In force,Zambia Environmental Management Agency (ZEMA),Environmental management; EIA/SEA; pollution control,cross (esp env/mining/constr/ag),WF-E01..E12/WF-M12,EIA authorisation/licences,annual env reports/audits,env audit/monitoring,per approval,fines/imprisonment,REG-0018;REG-0019,SRC-0069,86
REG-0018,Environmental Management (EIA) Regulations SI No.3 of 2026,2026,In force (repealed 1997 regs),ZEMA,EIA screening/review/decision procedure,cross,WF-E01/E02/E04,ZEMA-registered consultant,decision-letter conditions,compliance monitoring,per project,fines,REG-0017,SRC-0069,84
REG-0019,Water Resources Management Act No.21 of 2011,2011,In force,Water Resources Management Authority (WARMA),Water resource permits; abstraction/impoundment,cross (water/ag/mining/env),WF-E06/WF-012,Water permit (My-WARMA),abstraction returns,inspection,per permit,fines,REG-0017;REG-0020,SRC-0070,80
REG-0020,Water Supply and Sanitation Act,1997,In force,NWASCO,Regulation of water/sanitation utilities,environmental/utilities,WF-E07,Utility licence,performance reports,inspection,periodic,penalties,REG-0019,SRC-0070,72
REG-0021,Road Traffic Act (Cap 464),2002,In force,RTSA,Vehicle registration; driver licensing; road safety,logistics/cross,WF-L11/L13/L14,Vehicle registration; driver licence,n/a,vehicle/roadworthiness inspection,annual,fines,REG-0022,SRC-0019,80
REG-0022,Customs and Excise Act (Cap 322) / ASYCUDA,2024,In force,Zambia Revenue Authority (ZRA),Customs clearance; import/export duties,logistics/cross,WF-L09/supply-chain,Clearing-agent licence (CE34),customs declarations (SAD),customs examination,per consignment,fines/seizure,REG-0106,SRC-0090,84
REG-0023,National Registration Act (Cap 126),2024,In force,Dept of National Registration (MoHAIS),National Registration Card (NRC) / identity,cross-industry,WF-007 (identity),NRC issuance,n/a,n/a,as required,fines,REG-0024,SRC-0018,80
REG-0024,Data Protection Act No.3 of 2021,2021,In force,Office of the Data Protection Commissioner,Personal-data protection & processing,cross-industry,all data workflows,Data controller registration; data auditor licence,breach notification,data audit,per registration,fines,REG-0025,SRC-0012,96
REG-0025,Cyber Security Act No.3 of 2025 & Cyber Crimes Act No.4 of 2025,2025,In force (repealed 2021 Act),GRZ/ZICTA,Cyber security & cybercrime,cross-industry,digital workflows,n/a,incident reporting,n/a,n/a,fines/imprisonment,REG-0024,SRC-0013,65
REG-0026,Statistics Act No.13 of 2018,2018,In force,Zambia Statistics Agency (ZamStats),National statistical system,cross-industry,WF-025/035,n/a,statistical returns,n/a,n/a,fines,REG-0005,SRC-0022,80
REG-0027,Import permits (phytosanitary/veterinary/health/firearms),2024,In force,Veterinary Dept / Mount Makulu / ZAMRA / Police,Controlled-goods import certification,agriculture/cross,WF-L01/L09,Import permits/certificates,n/a,border inspection,per consignment,seizure,REG-0022,SRC-0091,80
REG-0028,Employment Code Act No.3 of 2019,2019,In force,Labour Commissioner (Ministry of Labour),Employment terms; young persons; conditions,cross-industry,WF-020/WF-M11/WF-C10,n/a,n/a,labour inspection,n/a,fines,REG-0015,SRC-0101,86
REG-0029,Public Procurement Act No.8 of 2020,2020,In force (repealed 2008 Act),Zambia Public Procurement Authority (ZPPA),Public procurement regulation; e-GP,construction/cross,WF-C04/procurement,Bidder participation,procurement reports/audits,procurement audit,per tender,suspension/ban,REG-0014,SRC-0102,86
REG-0030,Competition and Consumer Protection Act No.24 of 2010,2010,In force,Competition & Consumer Protection Commission (CCPC),Competition; consumer protection; mergers,cross-industry,marketplace/sales,merger notification,n/a,investigation,n/a,fines,REG-0031,SRC-0103,84
REG-0031,Financial Intelligence Centre Act No.46 of 2010,2010,In force,Financial Intelligence Centre (FIC),AML/CFT; suspicious-transaction reporting,cross (finance/commodity),WF-029/032/037,Reporting-entity obligations,STR/CTR reports,supervisory inspection,ongoing,fines/imprisonment,REG-0032,SRC-0104,86
REG-0032,PACRA Act No.15 of 2010,2010,In force,Patents and Companies Registration Agency (PACRA),Company & IP registration (patents/trademarks/designs),cross-industry,business registration,Company/business-name/IP registration,annual returns,n/a,annual,fines,REG-0030,SRC-0105,86
REG-0033,Income Tax Act (Cap 323) & VAT Act,2024,In force,Zambia Revenue Authority (ZRA),Income tax; VAT; mineral royalty cross-ref,cross-industry,WF-032/WF-M13,Taxpayer registration (TPIN),tax returns,tax audit,annual/periodic,penalties,REG-0012;REG-0022,SRC-0106,80
REG-0034,Occupational Health and Safety Act No.36 of 2010 (repealed by OHS Act 2025),2010,Amended/replaced (2025),Ministry of Labour / OHS Institute,Workplace health & safety,cross (mining/constr/env),WF-M11/WF-C10/WF-E05,Workplace registration,incident reports,OHS inspection,periodic,fines,REG-0028,SRC-0107,74
REG-0035,Zambia Development Agency Act,2006,In force,Zambia Development Agency (ZDA),Investment promotion; SEZ/MFEZ; licensing,cross-industry,WF-L (SEZ),Investment licence,n/a,n/a,periodic,n/a,REG-0029,SRC-0088,76
REG-0036,Mines and Minerals Development Act No.11 of 2015,2015,Repealed by MRCA 2024,(former Ministry of Mines directorates),Former mining law (rights/safety/environment/royalty),mining,WF-M02,(superseded),n/a,n/a,n/a,n/a,REG-0012,SRC-0064,80
REG-0037,Eighth National Development Plan (8NDP) 2022-2026 & Vision 2030,2022,In force (policy),Ministry of Finance & National Planning,National development policy framework,cross-industry,all (policy alignment),n/a,implementation reports,n/a,plan cycle,n/a,REG-0001,SRC-0015,95
